"class","family","genus","species","valid_genus","valid_species","bodySize","ref_bodysize"
"Actinopterygii","Clupeidae","Clupeidae","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Clupeidae","Spratelloides","robustus","Spratelloides","robustus",12,"Fishbase2022"
"Actinopterygii","Clupeidae","Spratelloides","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Congridae","Conger","verreauxi","Conger","verreauxi",200,"Fishbase2022"
"Actinopterygii","Creediidae","Limnichthys","fasciatus","Limnichthys","fasciatus",5,"Fishbase2022"
"Actinopterygii","Cyttidae","Cyttus","australis","Cyttus","australis",41,"Fishbase2022"
"Actinopterygii","Dinolestidae","Dinolestes","lewini","Dinolestes","lewini",84,"Fishbase2022"
"Actinopterygii","Diodontidae","Chilomycterus","reticulatus","Chilomycterus","reticulatus",69.7,"Fishbase2022"
"Actinopterygii","Diodontidae","Cyclichthys","orbicularis","Cyclichthys","orbicularis",30,"Fishbase2022"
"Actinopterygii","Diodontidae","Dicotylichthys","punctulatus","Dicotylichthys","punctulatus",40,"Fishbase2022"
"Actinopterygii","Diodontidae","Diodon","holocanthus","Diodon","holocanthus",50,"Fishbase2022"
"Actinopterygii","Diodontidae","Diodon","hystrix","Diodon","hystrix",91,"Fishbase2022"
"Actinopterygii","Diodontidae","Diodon","nicthemerus","Diodon","nicthemerus",40,"Fishbase2022"
"Actinopterygii","Echeneidae","Echeneis","naucrates","Echeneis","naucrates",110,"Fishbase2022"
"Actinopterygii","Enoplosidae","Enoplosus","armatus","Enoplosus","armatus",50,"Fishbase2022"
"Actinopterygii","Ephippidae","Platax","batavianus","Platax","batavianus",65,"Fishbase2022"
"Actinopterygii","Ephippidae","Platax","boersii","Platax","boersii",40,"Fishbase2022"
"Actinopterygii","Ephippidae","Platax","pinnatus","Platax","pinnatus",45,"Fishbase2022"
"Actinopterygii","Ephippidae","Platax","teira","Platax","teira",70,"Fishbase2022"
"Actinopterygii","Fistulariidae","Fistularia","commersonii","Fistularia","commersonii",160,"Fishbase2022"
"Actinopterygii","Fistulariidae","Fistularia","petimba","Fistularia","petimba",200,"Fishbase2022"
"Actinopterygii","Gerreidae","Gerres","subfasciatus","Gerres","subfasciatus",20,"Fishbase2022"
"Actinopterygii","Gerreidae","Parequula","melbournensis","Parequula","melbournensis",22,"Fishbase2022"
"Actinopterygii","Glaucosomatidae","Glaucosoma","hebraicum","Glaucosoma","hebraicum",122,"Fishbase2022"
"Actinopterygii","Glaucosomatidae","Glaucosoma","magnificum","Glaucosoma","magnificum",32,"Fishbase2022"
"Actinopterygii","Gobiesocidae","Cochleoceps","orientalis","Cochleoceps","orientalis",5.5,"Fishbase2022"
"Actinopterygii","Gobiesocidae","Diademichthys","lineatus","Diademichthys","lineatus",5,"Fishbase2022"
"Actinopterygii","Gobiidae","Amblyeleotris","fasciata","Amblyeleotris","fasciata",8,"Fishbase2022"
"Actinopterygii","Gobiidae","Amblyeleotris","guttata","Amblyeleotris","guttata",11,"Fishbase2022"
"Actinopterygii","Gobiidae","Amblyeleotris","gymnocephala","Amblyeleotris","gymnocephala",14,"Fishbase2022"
"Actinopterygii","Gobiidae","Amblyeleotris","periophthalma","Amblyeleotris","periophthalma",11,"Fishbase2022"
"Actinopterygii","Gobiidae","Amblyeleotris","steinitzi","Amblyeleotris","steinitzi",13,"Fishbase2022"
"Actinopterygii","Gobiidae","Amblyeleotris","wheeleri","Amblyeleotris","wheeleri",10,"Fishbase2022"
"Actinopterygii","Gobiidae","Amblygobius","decussatus","Amblygobius","decussatus",9.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Amblygobius","nocturnus","Amblygobius","nocturnus",10,"Fishbase2022"
"Actinopterygii","Gobiidae","Amblygobius","phalaena","Amblygobius","phalaena",15,"Fishbase2022"
"Actinopterygii","Gobiidae","Asterropteryx","semipunctata","Asterropteryx","semipunctata",6.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Bathygobius","krefftii","Bathygobius","krefftii",12,"Fishbase2022"
"Actinopterygii","Gobiidae","Bryaninops","amplus","Bryaninops","amplus",4.6,"Fishbase2022"
"Actinopterygii","Gobiidae","Bryaninops","natans","Bryaninops","natans",2.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Callogobius","mucosus","Callogobius","mucosus",11,"Fishbase2022"
"Actinopterygii","Gobiidae","Cryptocentrus","strigilliceps","Cryptocentrus","strigilliceps",12,"Fishbase2022"
"Actinopterygii","Gobiidae","Ctenogobiops","mitodes","Ctenogobiops","mitodes",5.3,"Fishbase2022"
"Actinopterygii","Gobiidae","Ctenogobiops","pomastictus","Ctenogobiops","pomastictus",8,"Fishbase2022"
"Actinopterygii","Gobiidae","Eviota","atriventris","Eviota","atriventris",1.7,"Fishbase2022"
"Actinopterygii","Gobiidae","Eviota","bifasciata","Eviota","bifasciata",3.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Eviota","green",NA,NA,35.1,"Imputed"
"Actinopterygii","Gobiidae","Eviota","guttata","Eviota","guttata",3.2,"Fishbase2022"
"Actinopterygii","Gobiidae","Eviota","hoesei","Eviota","hoesei",2,"Fishbase2022"
"Actinopterygii","Gobiidae","Eviota","melasma","Eviota","melasma",3,"Fishbase2022"
"Actinopterygii","Gobiidae","Eviota","prasites","Eviota","prasites",3,"Fishbase2022"
"Actinopterygii","Gobiidae","Eviota","sebreei","Eviota","sebreei",2.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Eviota","sigillata","Eviota","sigillata",3,"Fishbase2022"
"Actinopterygii","Gobiidae","Eviota","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Gobiidae","Eviota","storthynx","Eviota","storthynx",2.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Exyrias","belissimus","Exyrias","belissimus",15,"Fishbase2022"
"Actinopterygii","Gobiidae","Fusigobius","duospilus","Fusigobius","duospilus",6,"Fishbase2022"
"Actinopterygii","Gobiidae","Fusigobius","melacron","Fusigobius","melacron",3.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Fusigobius","neophytus","Fusigobius","neophytus",7.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Fusigobius","signipinnis","Fusigobius","signipinnis",4.9,"Fishbase2022"
"Actinopterygii","Gobiidae","Fusigobius","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Gobiidae","Gnatholepis","anjerensis","Gnatholepis","anjerensis",8.4,"Fishbase2022"
"Actinopterygii","Gobiidae","Gnatholepis","cauerensis","Gnatholepis","cauerensis",6,"Fishbase2022"
"Actinopterygii","Gobiidae","Gobiidae","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Gobiidae","Gobiodon","citrinus","Gobiodon","citrinus",6.6,"Fishbase2022"
"Actinopterygii","Gobiidae","Gobiodon","histrio","Gobiodon","histrio",3.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Gobiodon","okinawae","Gobiodon","okinawae",3.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Gobiodon","quinquestrigatus","Gobiodon","quinquestrigatus",4.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Gobiodon","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Gobiidae","Istigobius","decoratus","Istigobius","decoratus",13,"Fishbase2022"
"Actinopterygii","Gobiidae","Istigobius","goldmanni","Istigobius","goldmanni",6,"Fishbase2022"
"Actinopterygii","Gobiidae","Istigobius","hoesei","Istigobius","hoesei",6,"Fishbase2022"
"Actinopterygii","Gobiidae","Istigobius","rigilius","Istigobius","rigilius",10.8,"Fishbase2022"
"Actinopterygii","Gobiidae","Istigobius","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Gobiidae","Koumansetta","rainfordi","Koumansetta","rainfordi",8.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Macrodontogobius","wilburi","Macrodontogobius","wilburi",6.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Nesogobius","pulchellus","Nesogobius","pulchellus",7,"Fishbase2022"
"Actinopterygii","Gobiidae","Nesogobius","sp. 2",NA,NA,35.1,"Imputed"
"Actinopterygii","Gobiidae","Nesogobius","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Gobiidae","Signigobius","biocellatus","Signigobius","biocellatus",10,"Fishbase2022"
"Actinopterygii","Gobiidae","Trimma","taylori","Trimma","taylori",3.5,"Fishbase2022"
"Actinopterygii","Gobiidae","Valenciennea","alleni","Valenciennea","alleni",7.4,"Fishbase2022"
"Actinopterygii","Gobiidae","Valenciennea","longipinnis","Valenciennea","longipinnis",18,"Fishbase2022"
"Actinopterygii","Gobiidae","Valenciennea","muralis","Valenciennea","muralis",16,"Fishbase2022"
"Actinopterygii","Gobiidae","Valenciennea","parva","Valenciennea","parva",10,"Fishbase2022"
"Actinopterygii","Gobiidae","Valenciennea","puellaris","Valenciennea","puellaris",20,"Fishbase2022"
"Actinopterygii","Gobiidae","Valenciennea","sexguttata","Valenciennea","sexguttata",14,"Fishbase2022"
"Actinopterygii","Gobiidae","Valenciennea","strigata","Valenciennea","strigata",18,"Fishbase2022"
"Actinopterygii","Haemulidae","Diagramma","pictum","Diagramma","pictum",100,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","caeruleonothus","Plectorhinchus","caeruleonothus",100,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","chaetodonoides","Plectorhinchus","chaetodonoides",72,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","chrysotaenia","Plectorhinchus","chrysotaenia",41,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","flavomaculatus","Plectorhinchus","flavomaculatus",60,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","gibbosus","Plectorhinchus","gibbosus",75,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","lessonii","Plectorhinchus","lessonii",40,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","lineatus","Plectorhinchus","lineatus",72,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","multivittatus","Plectorhinchus","multivittatus",50,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","picus","Plectorhinchus","picus",84,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","polytaenia","Plectorhinchus","polytaenia",50,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","schotaf","Plectorhinchus","schotaf",80,"Fishbase2022"
"Actinopterygii","Haemulidae","Plectorhinchus","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Haemulidae","Plectorhinchus","vittatus","Plectorhinchus","vittatus",72,"Fishbase2022"
"Actinopterygii","Hemiramphidae","Hemiramphus","far","Hemiramphus","far",45,"Fishbase2022"
"Actinopterygii","Hemiramphidae","Hyporhamphus","australis","Hyporhamphus","australis",39.8,"Fishbase2022"
"Actinopterygii","Hemiramphidae","Hyporhamphus","melanochir","Hyporhamphus","melanochir",52,"Fishbase2022"
"Actinopterygii","Holocentridae","Myripristis","adusta","Myripristis","adusta",35,"Fishbase2022"
"Actinopterygii","Holocentridae","Myripristis","berndti","Myripristis","berndti",30,"Fishbase2022"
"Actinopterygii","Holocentridae","Myripristis","hexagona","Myripristis","hexagona",30,"Fishbase2022"
"Actinopterygii","Holocentridae","Myripristis","kuntee","Myripristis","kuntee",26,"Fishbase2022"
"Actinopterygii","Holocentridae","Myripristis","murdjan","Myripristis","murdjan",60,"Fishbase2022"
"Actinopterygii","Holocentridae","Myripristis","pralinia","Myripristis","pralinia",20,"Fishbase2022"
"Actinopterygii","Holocentridae","Myripristis","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Holocentridae","Myripristis","violacea","Myripristis","violacea",35,"Fishbase2022"
"Actinopterygii","Holocentridae","Myripristis","vittata","Myripristis","vittata",25,"Fishbase2022"
"Actinopterygii","Holocentridae","Neoniphon","argenteus","Neoniphon","argenteus",24,"Fishbase2022"
"Actinopterygii","Holocentridae","Neoniphon","opercularis","Neoniphon","opercularis",35,"Fishbase2022"
"Actinopterygii","Holocentridae","Neoniphon","sammara","Neoniphon","sammara",32,"Fishbase2022"
"Actinopterygii","Holocentridae","Neoniphon","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Holocentridae","Sargocentron","caudimaculatum","Sargocentron","caudimaculatum",25,"Fishbase2022"
"Actinopterygii","Holocentridae","Sargocentron","cornutum","Sargocentron","cornutum",27,"Fishbase2022"
"Actinopterygii","Holocentridae","Sargocentron","diadema","Sargocentron","diadema",17,"Fishbase2022"
"Actinopterygii","Holocentridae","Sargocentron","ittodai","Sargocentron","ittodai",20,"Fishbase2022"
"Actinopterygii","Holocentridae","Sargocentron","rubrum","Sargocentron","rubrum",32,"Fishbase2022"
"Actinopterygii","Holocentridae","Sargocentron","spiniferum","Sargocentron","spiniferum",51,"Fishbase2022"
"Actinopterygii","Holocentridae","Sargocentron","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Kuhliidae","Kuhlia","mugil","Kuhlia","mugil",40,"Fishbase2022"
"Actinopterygii","Kyphosidae","Atypichthys","latus","Atypichthys","latus",30,"Fishbase2022"
"Actinopterygii","Kyphosidae","Atypichthys","strigatus","Atypichthys","strigatus",25,"Fishbase2022"
"Actinopterygii","Kyphosidae","Bathystethus","cultratus","Bathystethus","cultratus",30,"Fishbase2022"
"Actinopterygii","Kyphosidae","Girella","cyanea","Girella","cyanea",20,"Fishbase2022"
"Actinopterygii","Kyphosidae","Girella","elevata","Girella","elevata",62,"Fishbase2022"
"Actinopterygii","Kyphosidae","Girella","tephraeops","Girella","tephraeops",61,"Fishbase2022"
"Actinopterygii","Kyphosidae","Girella","tricuspidata","Girella","tricuspidata",71,"Fishbase2022"
"Actinopterygii","Kyphosidae","Girella","zebra","Girella","zebra",34,"Fishbase2022"
"Actinopterygii","Kyphosidae","Kyphosus","bigibbus","Kyphosus","bigibbus",75,"Fishbase2022"
"Actinopterygii","Kyphosidae","Kyphosus","cinerascens","Kyphosus","cinerascens",50.7,"Fishbase2022"
"Actinopterygii","Kyphosidae","Kyphosus","cornelii","Kyphosus","cornelii",70,"Fishbase2022"
"Actinopterygii","Kyphosidae","Kyphosus","gladius","Kyphosus","gladius",45.7,"Fishbase2022"
"Actinopterygii","Kyphosidae","Kyphosus","sectatrix","Kyphosus","sectatrix",76,"Fishbase2022"
"Actinopterygii","Kyphosidae","Kyphosus","sydneyanus","Kyphosus","sydneyanus",80,"Fishbase2022"
"Actinopterygii","Kyphosidae","Kyphosus","vaigiensis","Kyphosus","vaigiensis",70,"Fishbase2022"
"Actinopterygii","Kyphosidae","Labracoglossa","nitida","Labracoglossa","nitida",20,"Fishbase2022"
"Actinopterygii","Kyphosidae","Microcanthus","strigatus","Microcanthus","strigatus",16,"Fishbase2022"
"Actinopterygii","Kyphosidae","Neatypus","obliquus","Neatypus","obliquus",22,"Fishbase2022"
"Actinopterygii","Kyphosidae","Scorpis","aequipinnis","Scorpis","aequipinnis",40,"Fishbase2022"
"Actinopterygii","Kyphosidae","Scorpis","georgiana","Scorpis","georgiana",33,"Fishbase2022"
"Actinopterygii","Kyphosidae","Scorpis","lineolata","Scorpis","lineolata",30,"Fishbase2022"
"Actinopterygii","Kyphosidae","Scorpis","violacea","Scorpis","violacea",40,"Fishbase2022"
"Actinopterygii","Kyphosidae","Tilodon","sexfasciatus","Tilodon","sexfasciatus",40,"Fishbase2022"
"Actinopterygii","Labridae","Achoerodus","gouldii","Achoerodus","gouldii",175,"Fishbase2022"
"Actinopterygii","Labridae","Achoerodus","viridis","Achoerodus","viridis",62,"Fishbase2022"
"Actinopterygii","Labridae","Anampses","caeruleopunctatus","Anampses","caeruleopunctatus",42,"Fishbase2022"
"Actinopterygii","Labridae","Anampses","elegans","Anampses","elegans",29,"Fishbase2022"
"Actinopterygii","Labridae","Anampses","femininus","Anampses","femininus",24,"Fishbase2022"
"Actinopterygii","Labridae","Anampses","geographicus","Anampses","geographicus",31,"Fishbase2022"
"Actinopterygii","Labridae","Anampses","lennardi","Anampses","lennardi",28,"Fishbase2022"
"Actinopterygii","Labridae","Anampses","meleagrides","Anampses","meleagrides",22,"Fishbase2022"
"Actinopterygii","Labridae","Anampses","neoguinaicus","Anampses","neoguinaicus",20,"Fishbase2022"
"Actinopterygii","Labridae","Anampses","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Labridae","Anampses","twistii","Anampses","twistii",18,"Fishbase2022"
"Actinopterygii","Labridae","Austrolabrus","maculatus","Austrolabrus","maculatus",12.6,"Fishbase2022"
"Actinopterygii","Labridae","Bodianus","anthioides","Bodianus","anthioides",24,"Fishbase2022"
"Actinopterygii","Labridae","Bodianus","axillaris","Bodianus","axillaris",20,"Fishbase2022"
"Actinopterygii","Labridae","Bodianus","bilunulatus","Bodianus","bilunulatus",55,"Fishbase2022"
"Actinopterygii","Labridae","Bodianus","diana","Bodianus","diana",16.9,"Fishbase2022"
"Actinopterygii","Labridae","Bodianus","dictynna","Bodianus","dictynna",14.4,"Fishbase2022"
"Actinopterygii","Labridae","Bodianus","frenchii","Bodianus","frenchii",45,"Fishbase2022"
"Actinopterygii","Labridae","Bodianus","loxozonus","Bodianus","loxozonus",47,"Fishbase2022"
"Actinopterygii","Labridae","Bodianus","mesothorax","Bodianus","mesothorax",25,"Fishbase2022"
"Actinopterygii","Labridae","Bodianus","perditio","Bodianus","perditio",80,"Fishbase2022"
"Actinopterygii","Labridae","Cheilinus","chlorourus","Cheilinus","chlorourus",45,"Fishbase2022"
"Actinopterygii","Labridae","Cheilinus","fasciatus","Cheilinus","fasciatus",40,"Fishbase2022"
"Actinopterygii","Labridae","Cheilinus","oxycephalus","Cheilinus","oxycephalus",17,"Fishbase2022"
"Actinopterygii","Labridae","Cheilinus","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Labridae","Cheilinus","trilobatus","Cheilinus","trilobatus",45,"Fishbase2022"
"Actinopterygii","Labridae","Cheilinus","undulatus","Cheilinus","undulatus",229,"Fishbase2022"
"Actinopterygii","Labridae","Cheilio","inermis","Cheilio","inermis",50,"Fishbase2022"
"Actinopterygii","Labridae","Choerodon","anchorago","Choerodon","anchorago",50,"Fishbase2022"
"Actinopterygii","Labridae","Choerodon","cauteroma","Choerodon","cauteroma",36,"Fishbase2022"
"Actinopterygii","Labridae","Choerodon","cephalotes","Choerodon","cephalotes",38,"Fishbase2022"
"Actinopterygii","Labridae","Choerodon","cyanodus","Choerodon","cyanodus",70,"Fishbase2022"
"Actinopterygii","Labridae","Choerodon","fasciatus","Choerodon","fasciatus",30,"Fishbase2022"
"Actinopterygii","Labridae","Choerodon","graphicus","Choerodon","graphicus",51.5,"Fishbase2022"
"Actinopterygii","Labridae","Choerodon","rubescens","Choerodon","rubescens",90,"Fishbase2022"
"Actinopterygii","Labridae","Choerodon","schoenleinii","Choerodon","schoenleinii",100,"Fishbase2022"
"Actinopterygii","Labridae","Choerodon","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Labridae","Choerodon","vitta","Choerodon","vitta",20,"Fishbase2022"
"Actinopterygii","Labridae","Cirrhilabrus","exquisitus","Cirrhilabrus","exquisitus",12,"Fishbase2022"
"Actinopterygii","Labridae","Cirrhilabrus","punctatus","Cirrhilabrus","punctatus",13,"Fishbase2022"
"Actinopterygii","Labridae","Cirrhilabrus","randalli","Cirrhilabrus","randalli",8.4,"Fishbase2022"
"Actinopterygii","Labridae","Cirrhilabrus","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Labridae","Cirrhilabrus","temminckii","Cirrhilabrus","temminckii",9.9,"Fishbase2022"
"Actinopterygii","Labridae","Coris","auricularis","Coris","auricularis",40,"Fishbase2022"
"Actinopterygii","Labridae","Coris","aurilineata","Coris","aurilineata",14,"Fishbase2022"
"Actinopterygii","Labridae","Coris","aygula","Coris","aygula",120,"Fishbase2022"
"Actinopterygii","Labridae","Coris","batuensis","Coris","batuensis",17,"Fishbase2022"
"Actinopterygii","Labridae","Coris","bulbifrons","Coris","bulbifrons",60,"Fishbase2022"
"Actinopterygii","Labridae","Coris","caudimacula","Coris","caudimacula",20,"Fishbase2022"
"Actinopterygii","Labridae","Coris","dorsomacula","Coris","dorsomacula",38,"Fishbase2022"
"Actinopterygii","Labridae","Coris","gaimard","Coris","gaimard",40,"Fishbase2022"
"Actinopterygii","Labridae","Coris","picta","Coris","picta",25,"Fishbase2022"
"Actinopterygii","Labridae","Coris","pictoides","Coris","pictoides",15,"Fishbase2022"
"Actinopterygii","Labridae","Coris","sandeyeri","Coris","sandeyeri",25,"Fishbase2022"
"Actinopterygii","Labridae","Diproctacanthus","xanthurus","Diproctacanthus","xanthurus",10,"Fishbase2022"
"Actinopterygii","Labridae","Dotalabrus","alleni","Dotalabrus","alleni",8.4,"Fishbase2022"
"Actinopterygii","Labridae","Dotalabrus","aurantiacus","Dotalabrus","aurantiacus",11.1,"Fishbase2022"
"Actinopterygii","Labridae","Epibulus","insidiator","Epibulus","insidiator",54,"Fishbase2022"
"Actinopterygii","Labridae","Eupetrichthys","angustipes","Eupetrichthys","angustipes",12.4,"Fishbase2022"
"Actinopterygii","Labridae","Gomphosus","varius","Gomphosus","varius",30,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","biocellatus","Halichoeres","biocellatus",12,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","brownfieldi","Halichoeres","brownfieldi",15,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","chloropterus","Halichoeres","chloropterus",19,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","chrysus","Halichoeres","chrysus",12,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","erdmanni","Halichoeres","erdmanni",7.2,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","hartzfeldii","Halichoeres","hartzfeldii",18,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","hortulanus","Halichoeres","hortulanus",27,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","margaritaceus","Halichoeres","margaritaceus",12.5,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","marginatus","Halichoeres","marginatus",18,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","melanochir","Halichoeres","melanochir",18,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","melanurus","Halichoeres","melanurus",12,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","miniatus","Halichoeres","miniatus",14,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","nebulosus","Halichoeres","nebulosus",12,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","nigrescens","Halichoeres","nigrescens",14,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","prosopeion","Halichoeres","prosopeion",13,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","scapularis","Halichoeres","scapularis",20,"Fishbase2022"
"Actinopterygii","Labridae","Halichoeres","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Labridae","Halichoeres","trimaculatus","Halichoeres","trimaculatus",27,"Fishbase2022"
"Actinopterygii","Labridae","Hemigymnus","fasciatus","Hemigymnus","fasciatus",30,"Fishbase2022"
"Actinopterygii","Labridae","Hemigymnus","melapterus","Hemigymnus","melapterus",37,"Fishbase2022"
"Actinopterygii","Labridae","Hologymnosus","annulatus","Hologymnosus","annulatus",40,"Fishbase2022"
"Actinopterygii","Labridae","Hologymnosus","doliatus","Hologymnosus","doliatus",50,"Fishbase2022"
"Actinopterygii","Labridae","Labrichthys","unilineatus","Labrichthys","unilineatus",17.5,"Fishbase2022"
"Actinopterygii","Labridae","Labridae","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Labridae","Labroides","bicolor","Labroides","bicolor",15,"Fishbase2022"
"Actinopterygii","Labridae","Labroides","dimidiatus","Labroides","dimidiatus",14,"Fishbase2022"
"Actinopterygii","Labridae","Labroides","pectoralis","Labroides","pectoralis",11,"Fishbase2022"
"Actinopterygii","Labridae","Labropsis","australis","Labropsis","australis",10.5,"Fishbase2022"
"Actinopterygii","Labridae","Leptojulis","cyanopleura","Leptojulis","cyanopleura",13,"Fishbase2022"
"Actinopterygii","Labridae","Macropharyngodon","choati","Macropharyngodon","choati",7.6,"Fishbase2022"
"Actinopterygii","Labridae","Macropharyngodon","kuiteri","Macropharyngodon","kuiteri",10,"Fishbase2022"
"Actinopterygii","Labridae","Macropharyngodon","meleagris","Macropharyngodon","meleagris",15,"Fishbase2022"
"Actinopterygii","Labridae","Macropharyngodon","negrosensis","Macropharyngodon","negrosensis",12,"Fishbase2022"
"Actinopterygii","Labridae","Macropharyngodon","ornatus","Macropharyngodon","ornatus",13,"Fishbase2022"
"Actinopterygii","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",38,"Fishbase2022"
"Actinopterygii","Labridae","Notolabrus","gymnogenis","Notolabrus","gymnogenis",23,"Fishbase2022"
"Actinopterygii","Labridae","Notolabrus","inscriptus","Notolabrus","inscriptus",50,"Fishbase2022"
"Actinopterygii","Labridae","Notolabrus","parilus","Notolabrus","parilus",35.1,"Imputed"
"Actinopterygii","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",50,"Fishbase2022"
"Actinopterygii","Labridae","Novaculichthys","taeniourus","Novaculichthys","taeniourus",30,"Fishbase2022"
"Actinopterygii","Labridae","Ophthalmolepis","lineolatus","Ophthalmolepis","lineolata",40,"Fishbase2022"
"Actinopterygii","Labridae","Oxycheilinus","bimaculatus","Oxycheilinus","bimaculatus",15,"Fishbase2022"
"Actinopterygii","Labridae","Oxycheilinus","digramma","Oxycheilinus","digramma",40,"Fishbase2022"
"Actinopterygii","Labridae","Oxycheilinus","orientalis","Oxycheilinus","orientalis",20,"Fishbase2022"
"Actinopterygii","Labridae","Oxycheilinus","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Labridae","Oxycheilinus","unifasciatus","Oxycheilinus","unifasciatus",46,"Fishbase2022"
"Actinopterygii","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",23,"Fishbase2022"
"Actinopterygii","Labridae","Pictilabrus","viridis","Pictilabrus","viridis",14.1,"Fishbase2022"
"Actinopterygii","Labridae","Pseudocheilinus","evanidus","Pseudocheilinus","evanidus",9,"Fishbase2022"
"Actinopterygii","Labridae","Pseudocheilinus","hexataenia","Pseudocheilinus","hexataenia",10,"Fishbase2022"
"Actinopterygii","Labridae","Pseudocheilinus","octotaenia","Pseudocheilinus","octotaenia",14,"Fishbase2022"
"Actinopterygii","Labridae","Pseudocoris","yamashiroi","Pseudocoris","yamashiroi",16,"Fishbase2022"
"Actinopterygii","Labridae","Pseudodax","moluccanus","Pseudodax","moluccanus",30,"Fishbase2022"
"Actinopterygii","Labridae","Pseudojuloides","elongatus","Pseudojuloides","elongatus",14,"Fishbase2022"
"Actinopterygii","Labridae","Pseudolabrus","biserialis","Pseudolabrus","biserialis",17.2,"Fishbase2022"
"Actinopterygii","Labridae","Pseudolabrus","guentheri","Pseudolabrus","guentheri",18,"Fishbase2022"
"Actinopterygii","Labridae","Pseudolabrus","luculentus","Pseudolabrus","luculentus",17,"Fishbase2022"
"Actinopterygii","Labridae","Pseudolabrus","rubicundus","Pseudolabrus","rubicundus",35.1,"Imputed"
"Actinopterygii","Labridae","Pteragogus","cryptus","Pteragogus","cryptus",9.5,"Fishbase2022"
"Actinopterygii","Labridae","Pteragogus","enneacanthus","Pteragogus","enneacanthus",15,"Fishbase2022"
"Actinopterygii","Labridae","Stethojulis","bandanensis","Stethojulis","bandanensis",15,"Fishbase2022"
"Actinopterygii","Labridae","Stethojulis","interrupta","Stethojulis","interrupta",13,"Fishbase2022"
"Actinopterygii","Labridae","Stethojulis","spp.",NA,NA,35.1,"Imputed"
