"class","family","genus","species","valid_genus","valid_species","bodySize","ref_bodysize"
"Actinopterygii","Apogonidae","Ostorhinchus","compressus","Ostorhinchus","compressus",12,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","cookii","Ostorhinchus","cookii",10,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","cyanosoma","Ostorhinchus","cyanosoma",8,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","monospilus","Ostorhinchus","monospilus",7.8,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","neotes","Ostorhinchus","neotes",2.7,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","nigrofasciatus","Ostorhinchus","nigrofasciatus",10,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","norfolcensis","Ostorhinchus","norfolcensis",15,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","pallidofasciatus","Ostorhinchus","pallidofasciatus",7,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","rueppellii","Ostorhinchus","rueppellii",12,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","sealei","Ostorhinchus","sealei",10,"Fishbase2022"
"Actinopterygii","Apogonidae","Ostorhinchus","wassinki","Ostorhinchus","wassinki",7,"Fishbase2022"
"Actinopterygii","Apogonidae","Pristiapogon","exostigma","Pristiapogon","exostigma",12,"Fishbase2022"
"Actinopterygii","Apogonidae","Pristiapogon","kallopterus","Pristiapogon","kallopterus",15.5,"Fishbase2022"
"Actinopterygii","Apogonidae","Pristicon","trimaculatus","Pristicon","trimaculatus",14.2,"Fishbase2022"
"Actinopterygii","Apogonidae","Pterapogon","mirifica","Quinca","mirifica",35.1,"Imputed"
"Actinopterygii","Apogonidae","Rhabdamia","cypselurus","Verulux","cypselurus",6,"Fishbase2022"
"Actinopterygii","Apogonidae","Rhabdamia","gracilis","Rhabdamia","gracilis",7.4,"Fishbase2022"
"Actinopterygii","Apogonidae","Siphamia","cephalotes","Siphamia","cephalotes",5,"Fishbase2022"
"Actinopterygii","Apogonidae","Taeniamia","biguttata","Taeniamia","biguttata",11,"Fishbase2022"
"Actinopterygii","Apogonidae","Taeniamia","fucata","Taeniamia","fucata",10,"Fishbase2022"
"Actinopterygii","Apogonidae","Taeniamia","leai","Taeniamia","leai",9,"Fishbase2022"
"Actinopterygii","Apogonidae","Taeniamia","melasma","Taeniamia","melasma",8.6,"Fishbase2022"
"Actinopterygii","Apogonidae","Taeniamia","zosterophora","Taeniamia","zosterophora",8,"Fishbase2022"
"Actinopterygii","Apogonidae","Vincentia","conspersa","Vincentia","conspersa",14,"Fishbase2022"
"Actinopterygii","Apogonidae","Vincentia","novaehollandiae","Vincentia","novaehollandiae",35.1,"Imputed"
"Actinopterygii","Apogonidae","Zoramia","viridiventer","Zoramia","viridiventer",4.2,"Fishbase2022"
"Actinopterygii","Arripidae","Arripis","georgianus","Arripis","georgiana",41,"Fishbase2022"
"Actinopterygii","Arripidae","Arripis","trutta","Arripis","trutta",89,"Fishbase2022"
"Actinopterygii","Arripidae","Arripis","truttaceus","Arripis","truttacea",96,"Fishbase2022"
"Actinopterygii","Arripidae","Arripis","xylabion","Arripis","xylabion",85,"Fishbase2022"
"Actinopterygii","Atherinidae","Atherinidae","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Atherinidae","Atherinomorus","vaigiensis","Atherinomorus","vaigiensis",17,"Fishbase2022"
"Actinopterygii","Aulopidae","Latropiscis","purpurissatus","Latropiscis","purpurissatus",60,"Fishbase2022"
"Actinopterygii","Aulostomidae","Aulostomus","chinensis","Aulostomus","chinensis",80,"Fishbase2022"
"Actinopterygii","Balistidae","Abalistes","stellatus","Abalistes","stellatus",60,"Fishbase2022"
"Actinopterygii","Balistidae","Balistapus","undulatus","Balistapus","undulatus",30,"Fishbase2022"
"Actinopterygii","Balistidae","Balistidae","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Balistidae","Balistoides","conspicillum","Balistoides","conspicillum",50,"Fishbase2022"
"Actinopterygii","Balistidae","Balistoides","viridescens","Balistoides","viridescens",75,"Fishbase2022"
"Actinopterygii","Balistidae","Melichthys","niger","Melichthys","niger",50,"Fishbase2022"
"Actinopterygii","Balistidae","Melichthys","vidua","Melichthys","vidua",40,"Fishbase2022"
"Actinopterygii","Balistidae","Odonus","niger","Odonus","niger",50,"Fishbase2022"
"Actinopterygii","Balistidae","Rhinecanthus","aculeatus","Rhinecanthus","aculeatus",30,"Fishbase2022"
"Actinopterygii","Balistidae","Rhinecanthus","rectangulus","Rhinecanthus","rectangulus",30,"Fishbase2022"
"Actinopterygii","Balistidae","Sufflamen","bursa","Sufflamen","bursa",25,"Fishbase2022"
"Actinopterygii","Balistidae","Sufflamen","chrysopterum","Sufflamen","chrysopterum",30,"Fishbase2022"
"Actinopterygii","Balistidae","Sufflamen","fraenatum","Sufflamen","fraenatum",38,"Fishbase2022"
"Actinopterygii","Batrachoididae","Batrachomoeus","dubius","Batrachomoeus","dubius",35,"Fishbase2022"
"Actinopterygii","Batrachoididae","Halophryne","diemensis","Halophryne","diemensis",28,"Fishbase2022"
"Actinopterygii","Belonidae","Tylosurus","crocodilus","Tylosurus","crocodilus",150,"Fishbase2022"
"Actinopterygii","Belonidae","Tylosurus","gavialoides","Tylosurus","gavialoides",75,"Fishbase2022"
"Actinopterygii","Blenniidae","Aspidontus","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Blenniidae","Aspidontus","taeniatus","Aspidontus","taeniatus",11.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Atrosalarias","holomelas","Atrosalarias","holomelas",14.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Blenniidae","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Blenniidae","Cirripectes","alboapicalis","Cirripectes","alboapicalis",15.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Cirripectes","alleni","Cirripectes","alleni",6.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Cirripectes","castaneus","Cirripectes","castaneus",9.2,"Fishbase2022"
"Actinopterygii","Blenniidae","Cirripectes","chelomatus","Cirripectes","chelomatus",9.4,"Fishbase2022"
"Actinopterygii","Blenniidae","Cirripectes","filamentosus","Cirripectes","filamentosus",7.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Cirripectes","hutchinsi","Cirripectes","hutchinsi",10.6,"Fishbase2022"
"Actinopterygii","Blenniidae","Cirripectes","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Blenniidae","Cirripectes","stigmaticus","Cirripectes","stigmaticus",10,"Fishbase2022"
"Actinopterygii","Blenniidae","Crossosalarias","macrospilus","Crossosalarias","macrospilus",10,"Fishbase2022"
"Actinopterygii","Blenniidae","Ecsenius","bicolor","Ecsenius","bicolor",11,"Fishbase2022"
"Actinopterygii","Blenniidae","Ecsenius","black eye",NA,NA,35.1,"Imputed"
"Actinopterygii","Blenniidae","Ecsenius","lividanalis","Ecsenius","lividanalis",5,"Fishbase2022"
"Actinopterygii","Blenniidae","Ecsenius","mandibularis","Ecsenius","mandibularis",7.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Ecsenius","midas","Ecsenius","midas",13,"Fishbase2022"
"Actinopterygii","Blenniidae","Ecsenius","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Blenniidae","Ecsenius","stictus","Ecsenius","stictus",5.8,"Fishbase2022"
"Actinopterygii","Blenniidae","Ecsenius","yaeyamaensis","Ecsenius","yaeyamaensis",6,"Fishbase2022"
"Actinopterygii","Blenniidae","Exallias","brevis","Exallias","brevis",14.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Meiacanthus","atrodorsalis","Meiacanthus","atrodorsalis",11,"Fishbase2022"
"Actinopterygii","Blenniidae","Meiacanthus","ditrema","Meiacanthus","ditrema",6.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Meiacanthus","grammistes","Meiacanthus","grammistes",11,"Fishbase2022"
"Actinopterygii","Blenniidae","Meiacanthus","lineatus","Meiacanthus","lineatus",9.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Meiacanthus","phaeus","Meiacanthus","phaeus",35.1,"Imputed"
"Actinopterygii","Blenniidae","Meiacanthus","spp.",NA,NA,35.1,"Imputed"
