"class","family","genus","species","valid_genus","valid_species","bodySize"
"Actinopterygii","Apogonidae","Ostorhinchus","neotes","Ostorhinchus","neotes",2.7
"Actinopterygii","Apogonidae","Ostorhinchus","nigrofasciatus","Ostorhinchus","nigrofasciatus",10
"Actinopterygii","Apogonidae","Ostorhinchus","norfolcensis","Ostorhinchus","norfolcensis",15
"Actinopterygii","Apogonidae","Ostorhinchus","pallidofasciatus","Ostorhinchus","pallidofasciatus",7
"Actinopterygii","Apogonidae","Ostorhinchus","properuptus","Ostorhinchus","properuptus",6
"Actinopterygii","Apogonidae","Ostorhinchus","rueppellii","Ostorhinchus","rueppellii",12
"Actinopterygii","Apogonidae","Ostorhinchus","sealei","Ostorhinchus","sealei",10
"Actinopterygii","Apogonidae","Ostorhinchus","wassinki","Ostorhinchus","wassinki",7
"Actinopterygii","Apogonidae","Pristiapogon","exostigma","Pristiapogon","exostigma",12
"Actinopterygii","Apogonidae","Pristiapogon","fraenatus","Pristiapogon","fraenatus",11
"Actinopterygii","Apogonidae","Pristiapogon","kallopterus","Pristiapogon","kallopterus",15.5
"Actinopterygii","Apogonidae","Pristicon","trimaculatus","Pristicon","trimaculatus",14.2
"Actinopterygii","Apogonidae","Pterapogon","mirifica","Quinca","mirifica",NA
"Actinopterygii","Apogonidae","Rhabdamia","cypselurus","Verulux","cypselurus",6
"Actinopterygii","Apogonidae","Rhabdamia","gracilis","Rhabdamia","gracilis",7.4
"Actinopterygii","Apogonidae","Siphamia","cephalotes","Siphamia","cephalotes",5
"Actinopterygii","Apogonidae","Sphaeramia","nematoptera","Sphaeramia","nematoptera",8.5
"Actinopterygii","Apogonidae","Taeniamia","biguttata","Taeniamia","biguttata",11
"Actinopterygii","Apogonidae","Taeniamia","fucata","Taeniamia","fucata",10
"Actinopterygii","Apogonidae","Taeniamia","leai","Taeniamia","leai",9
"Actinopterygii","Apogonidae","Taeniamia","melasma","Taeniamia","melasma",8.6
"Actinopterygii","Apogonidae","Taeniamia","zosterophora","Taeniamia","zosterophora",8
"Actinopterygii","Apogonidae","Vincentia","conspersa","Vincentia","conspersa",14
