"species_name"
"Ptereleotris monoptera"
"Scarus flavipectoralis"
"Scarus niger"
"Scarus rivulatus"
"Scolopsis bilineata"
"Scolopsis margaritifer"
"Siganus doliatus"
"Stegastes apicalis"
"Stethojulis strigiventer"
"Synodus variegatus"
"Thalassoma lunare"
"Valenciennea muralis"
"Abudefduf bengalensis"
"Abudefduf sexfasciatus"
"Abudefduf whitleyi"
"Acanthochromis polyacanthus"
"Amblyglyphidodon curacao"
"Caesio cuning"
"Cephalopholis boenak"
"Chaetodon aureofasciatus"
"Cheilinus chlorourus"
"Cheilinus fasciatus"
"Cheilodipterus quinquelineatus"
"Chelmon rostratus"
"Chlorurus microrhinos"
"Chlorurus sordidus"
"Choerodon cyanodus"
"Choerodon fasciatus"
"Choerodon graphicus"
"Chromis atripectoralis"
"Cirrhilabrus punctatus"
"Cirripectes chelomatus"
"Cirripectes filamentosus"
"Coris aurilineata"
"Coris batuensis"
"Coris pictoides"
"Cryptocentrus strigilliceps"
"Diagramma pictum"
"Epinephelus ongus"
"Epinephelus quoyanus"
"Eviota sigillata"
"Gymnocranius audleyi"
"Halichoeres chloropterus"
"Halichoeres marginatus"
"Halichoeres melanurus"
"Halichoeres nebulosus"
"Hemigymnus melapterus"
"Istigobius goldmanni"
"Labrichthys unilineatus"
"Labroides dimidiatus"
"Lutjanus carponotatus"
"Lutjanus fulviflamma"
"Meiacanthus lineatus"
"Neoglyphidodon melas"
"Neopomacentrus azysron"
"Neopomacentrus bankieri"
"Ostorhinchus cyanosoma"
"Plectropomus leopardus"
"Plectropomus maculatus"
"Pomacanthus sexstriatus"
"Pomacanthus xanthometopon"
"Pomacentrus amboinensis"
"Pomacentrus australis"
"Pomacentrus moluccensis"
"Pomacentrus wardi"
"Psammoperca waigiensis"
"Pseudochromis wilsoni"
"Pseudolabrus guentheri"
"Ptereleotris microlepis"
"Sargocentron rubrum"
"Scarus chameleon"
"Scarus flavipectoralis"
"Scarus ghobban"
"Scarus rivulatus"
"Scarus schlegeli"
"Scolopsis bilineata"
"Scolopsis margaritifer"
"Siganus doliatus"
"Stegastes apicalis"
"Stethojulis bandanensis"
"Stethojulis interrupta"
"Stethojulis strigiventer"
"Thalassoma lunare"
"Abudefduf bengalensis"
"Abudefduf sexfasciatus"
"Abudefduf whitleyi"
"Acanthochromis polyacanthus"
"Aioliops novaeguineae"
"Amblyglyphidodon curacao"
"Anampses neoguinaicus"
"Assessor flavissimus"
"Assessor macneilli"
"Bodianus axillaris"
"Caesio cuning"
"Cephalopholis boenak"
"Cephalopholis cyanostigma"
"Chaetodon aureofasciatus"
"Chaetodon baronessa"
"Cheilinus chlorourus"
"Cheilinus fasciatus"
"Cheilinus undulatus"
"Cheilodipterus macrodon"
"Cheilodipterus quinquelineatus"
"Chelmon rostratus"
"Chlorurus microrhinos"
"Chlorurus sordidus"
"Choerodon fasciatus"
"Chromis atripectoralis"
"Chrysiptera rollandi"
"Cirrhilabrus punctatus"
"Cirripectes filamentosus"
"Coris batuensis"
"Diploprion bifasciatum"
"Epinephelus fasciatus"
"Epinephelus fuscoguttatus"
"Epinephelus quoyanus"
"Eviota guttata"
"Halichoeres marginatus"
"Halichoeres melanurus"
"Halichoeres prosopeion"
"Helcogramma chica"
"Hemigymnus fasciatus"
"Labrichthys unilineatus"
"Labroides dimidiatus"
"Lutjanus carponotatus"
"Lutjanus fulviflamma"
"Myripristis hexagona"
"Neoglyphidodon melas"
"Neoglyphidodon nigroris"
"Neopomacentrus azysron"
"Neopomacentrus bankieri"
"Ostorhinchus cyanosoma"
"Ostracion cubicus"
"Oxycheilinus digramma"
"Oxycheilinus orientalis"
"Pempheris analis"
"Pomacanthus sexstriatus"
"Pomacentrus amboinensis"
"Pomacentrus australis"
"Pomacentrus bankanensis"
"Pomacentrus brachialis"
"Pomacentrus lepidogenys"
"Pomacentrus moluccensis"
"Pomacentrus rhodonotus"
"Pomacentrus wardi"
"Pseudochromis wilsoni"
"Sargocentron rubrum"
"Scarus altipinnis"
"Scarus frenatus"
"Scarus rivulatus"
"Scolopsis bilineata"
"Scolopsis lineata"
"Scolopsis margaritifer"
"Siganus doliatus"
"Stegastes apicalis"
"Stethojulis bandanensis"
"Stethojulis strigiventer"
"Thalassoma lunare"
"Acanthaluteres vittiger"
"Dinolestes lewini"
"Hippocampus abdominalis"
"Meuschenia australis"
"Neoodax balteatus"
"Notolabrus fucicola"
"Notolabrus tetricus"
"Parma microlepis"
"Pictilabrus laticlavius"
"Pseudolabrus rubicundus"
"Trachinops caudimaculatus"
"Acanthaluteres vittiger"
"Cheilodactylus spectabilis"
"Dinolestes lewini"
"Meuschenia freycineti"
"Notolabrus fucicola"
"Notolabrus tetricus"
"Pictilabrus laticlavius"
"Pseudocaranx georgianus"
"Pseudolabrus rubicundus"
"Scorpis lineolata"
"Trachinops caudimaculatus"
"Caesioperca rasor"
"Cephaloscyllium laticeps"
"Dinolestes lewini"
"Dotalabrus aurantiacus"
"Forsterygion varium"
"Meuschenia freycineti"
"Neoodax balteatus"
"Notolabrus fucicola"
"Notolabrus tetricus"
"Olisthops cyanomelas"
"Pictilabrus laticlavius"
"Pseudolabrus rubicundus"
"Scorpis lineolata"
"Trachinops caudimaculatus"
"Upeneichthys vlamingii"
"Aplodactylus arctidens"
"Aracana aurita"
"Cheilodactylus spectabilis"
"Dinolestes lewini"
"Diodon nicthemerus"
"Forsterygion varium"
"Notolabrus fucicola"
"Notolabrus tetricus"
"Pictilabrus laticlavius"
"Scorpis lineolata"
"Trachinops caudimaculatus"
"Conger verreauxi"
"Dinolestes lewini"
"Dotalabrus aurantiacus"
"Lotella rhacina"
"Neoodax balteatus"
"Notolabrus tetricus"
"Pempheris multiradiata"
"Pictilabrus laticlavius"
"Siphonognathus beddomei"
"Trachinops caudimaculatus"
"Chelmonops curiosus"
"Dactylophora nigricans"
"Dotalabrus aurantiacus"
"Enoplosus armatus"
"Girella zebra"
"Kyphosus sydneyanus"
"Meuschenia hippocrepis"
"Monacanthidae spp."
"Notolabrus parilus"
"Notolabrus tetricus"
"Omegophora armilla"
"Parma victoriae"
"Pempheris multiradiata"
"Pictilabrus laticlavius"
"Pseudogoniistius nigripes"
"Scorpis aequipinnis"
"Tilodon sexfasciatus"
"Trachinops caudimaculatus"
"Acanthaluteres vittiger"
"Aplodactylus arctidens"
"Austrolabrus maculatus"
"Dactylophora nigricans"
"Dotalabrus aurantiacus"
"Girella zebra"
"Heteroscarus acroptilus"
"Kyphosus sydneyanus"
"Meuschenia galii"
"Meuschenia hippocrepis"
"Notolabrus parilus"
"Notolabrus tetricus"
"Olisthops cyanomelas"
"Parma victoriae"
"Pictilabrus laticlavius"
"Pseudogoniistius nigripes"
"Scorpis aequipinnis"
"Siphonognathus beddomei"
"Tilodon sexfasciatus"
"Trachinops caudimaculatus"
"Trachinops noarlungae"
"Upeneichthys vlamingii"
"Neoodax balteatus"
"Notolabrus tetricus"
"Olisthops cyanomelas"
"Pictilabrus laticlavius"
"Pseudophycis bachus"
"Trachinops caudimaculatus"
"Aplodactylus arctidens"
"Girella tricuspidata"
"Latridopsis forsteri"
"Meuschenia australis"
"Notolabrus fucicola"
"Notolabrus tetricus"
"Olisthops cyanomelas"
"Pempheris multiradiata"
"Pentaceropsis recurvirostris"
"Pictilabrus laticlavius"
"Pseudogoniistius nigripes"
"Pseudophycis bachus"
"Scorpaena papillosa"
"Trachinops caudimaculatus"
"Acanthaluteres vittiger"
"Cephaloscyllium laticeps"
"Dinolestes lewini"
"Dotalabrus aurantiacus"
"Eubalichthys mosaicus"
"Forsterygion varium"
"Lotella rhacina"
"Notolabrus tetricus"
"Pempheris multiradiata"
"Pictilabrus laticlavius"
"Siphonognathus beddomei"
"Trachinops caudimaculatus"
"Aetapcus maculatus"
"Caesioperca rasor"
"Cheilodactylus spectabilis"
"Dinolestes lewini"
"Enoplosus armatus"
"Girella zebra"
"Meuschenia freycineti"
"Notolabrus tetricus"
"Pseudogoniistius nigripes"
"Scorpis aequipinnis"
"Trachinops caudimaculatus"
"Caesioperca rasor"
"Haletta semifasciata"
"Meuschenia freycineti"
"Neoodax balteatus"
"Notolabrus tetricus"
"Pictilabrus laticlavius"
"Pseudogoniistius nigripes"
"Trachinops caudimaculatus"
"Upeneichthys vlamingii"
"Austrolabrus maculatus"
"Chelmonops curiosus"
"Dactylophora nigricans"
"Dotalabrus aurantiacus"
"Heteroclinus spp."
"Kyphosus sydneyanus"
"Meuschenia hippocrepis"
"Notolabrus parilus"
"Notolabrus tetricus"
"Parma victoriae"
"Pentaceropsis recurvirostris"
"Pseudocaranx georgianus"
"Pseudocaranx spp."
"Pseudogoniistius nigripes"
"Scobinichthys granulatus"
"Scorpis aequipinnis"
"Scorpis georgiana"
"Sepioteuthis australis"
"Siphonognathus beddomei"
"Tilodon sexfasciatus"
"Trachinops noarlungae"
"Trinorfolkia clarkei"
"Upeneichthys vlamingii"
"Acanthopagrus australis"
"Achoerodus viridis"
"Aplodactylus lophodon"
"Apogon limenus"
"Atypichthys strigatus"
"Canthigaster callisterna"
"Cheilodactylus fuscus"
"Cheilodactylus vestitus"
"Chrysophrys auratus"
"Dinolestes lewini"
"Eupetrichthys angustipes"
"Gerres subfasciatus"
"Hypoplectrodes maccullochi"
"Hyporhamphus australis"
"Mecaenichthys immaculatus"
"Meuschenia trachylepis"
"Notolabrus gymnogenis"
"Ophthalmolepis lineolatus"
"Parma microlepis"
"Parupeneus spilurus"
"Pempheris affinis"
"Pempheris compressa"
"Pictilabrus laticlavius"
"Schuettea scalaripinnis"
"Scorpaena jacksoniensis"
"Scorpis lineolata"
"Trachinops taeniatus"
"Trachurus novaezelandiae"
"Trinorfolkia clarkei"
"Upeneichthys lineatus"
"Anoplocapros inermis"
"Atypichthys strigatus"
"Austrolabrus maculatus"
"Brachaluteres jacksonianus"
"Chaetodontoplus meredithi"
"Cheilio inermis"
"Cheilodactylus fuscus"
"Cheilodactylus vestitus"
"Chelonia mydas"
"Chrysophrys auratus"
