"class","family","genus","species","valid_genus","valid_species","bodySize","size_class"
"Actinopterygii","Apogonidae","Ostorhinchus","compressus","Ostorhinchus","compressus",12,12.5
"Actinopterygii","Apogonidae","Ostorhinchus","cookii","Ostorhinchus","cookii",10,5
"Actinopterygii","Apogonidae","Ostorhinchus","cyanosoma","Ostorhinchus","cyanosoma",8,2.5
"Actinopterygii","Apogonidae","Ostorhinchus","monospilus","Ostorhinchus","monospilus",7.8,7.5
"Actinopterygii","Apogonidae","Ostorhinchus","neotes","Ostorhinchus","neotes",2.7,2.5
"Actinopterygii","Apogonidae","Ostorhinchus","nigrofasciatus","Ostorhinchus","nigrofasciatus",10,5
"Actinopterygii","Apogonidae","Ostorhinchus","norfolcensis","Ostorhinchus","norfolcensis",15,12.5
"Actinopterygii","Apogonidae","Ostorhinchus","pallidofasciatus","Ostorhinchus","pallidofasciatus",7,5
"Actinopterygii","Apogonidae","Ostorhinchus","properuptus","Ostorhinchus","properuptus",6,2.5
"Actinopterygii","Apogonidae","Ostorhinchus","rueppellii","Ostorhinchus","rueppellii",12,2.5
"Actinopterygii","Apogonidae","Ostorhinchus","sealei","Ostorhinchus","sealei",10,5
"Actinopterygii","Apogonidae","Ostorhinchus","wassinki","Ostorhinchus","wassinki",7,7.5
"Actinopterygii","Apogonidae","Pristiapogon","exostigma","Pristiapogon","exostigma",12,12.5
"Actinopterygii","Apogonidae","Pristiapogon","fraenatus","Pristiapogon","fraenatus",11,2.5
"Actinopterygii","Apogonidae","Pristiapogon","kallopterus","Pristiapogon","kallopterus",15.5,7.5
"Actinopterygii","Apogonidae","Pristicon","trimaculatus","Pristicon","trimaculatus",14.2,10
"Actinopterygii","Apogonidae","Pterapogon","mirifica","Quinca","mirifica",12.1327055348221,7.5
"Actinopterygii","Apogonidae","Rhabdamia","cypselurus","Verulux","cypselurus",6,2.5
"Actinopterygii","Apogonidae","Rhabdamia","gracilis","Rhabdamia","gracilis",7.4,2.5
"Actinopterygii","Apogonidae","Siphamia","cephalotes","Siphamia","cephalotes",5,2.5
"Actinopterygii","Apogonidae","Sphaeramia","nematoptera","Sphaeramia","nematoptera",8.5,5
"Actinopterygii","Apogonidae","Taeniamia","biguttata","Taeniamia","biguttata",11,5
"Actinopterygii","Apogonidae","Taeniamia","fucata","Taeniamia","fucata",10,5
"Actinopterygii","Apogonidae","Taeniamia","leai","Taeniamia","leai",9,5
"Actinopterygii","Apogonidae","Taeniamia","melasma","Taeniamia","melasma",8.6,5
"Actinopterygii","Apogonidae","Taeniamia","zosterophora","Taeniamia","zosterophora",8,5
"Actinopterygii","Apogonidae","Vincentia","conspersa","Vincentia","conspersa",14,5
"Actinopterygii","Apogonidae","Vincentia","novaehollandiae","Vincentia","novaehollandiae",12.1327055348221,7.5
"Actinopterygii","Apogonidae","Zoramia","fragilis","Zoramia","fragilis",5.5,2.5
"Actinopterygii","Apogonidae","Zoramia","spp.",NA,NA,8.9151205521341,5
"Actinopterygii","Apogonidae","Zoramia","viridiventer","Zoramia","viridiventer",4.2,2.5
"Actinopterygii","Aracanidae","Caprichthys","gymnura","Caprichthys","gymnura",11,10
"Actinopterygii","Arripidae","Arripis","georgianus","Arripis","georgiana",41,20
"Actinopterygii","Arripidae","Arripis","spp.",NA,NA,42.3565651904319,5
"Actinopterygii","Arripidae","Arripis","trutta","Arripis","trutta",89,40
"Actinopterygii","Arripidae","Arripis","truttaceus","Arripis","truttacea",96,20
"Actinopterygii","Arripidae","Arripis","xylabion","Arripis","xylabion",85,50
"Actinopterygii","Atherinidae","Atherinidae","spp.",NA,NA,7.56483003462403,5
"Actinopterygii","Atherinidae","Atherinomorus","vaigiensis","Atherinomorus","vaigiensis",17,12.5
"Actinopterygii","Atherinidae","Leptatherina","presbyteroides","Leptatherina","presbyteroides",11,7.5
"Actinopterygii","Aulopidae","Latropiscis","purpurissatus","Latropiscis","purpurissatus",60,40
